,number_discrepancy,case_discrepancy,space_discrepancy,specials_discrepancy,wordNo_discrepancy,stopWord_discrepancy,spell_discrepancy,lemma_discrepancy,stem_discrepancy,onlySpace_discrepancy,just_specials_discrepancy,s_discrepancy,sLower_discrepancy,count
0,False,False,False,False,False,False,False,False,False,False,False,False,False,5038
1,False,False,False,False,False,False,False,False,True,False,False,False,False,821
2,False,False,False,False,False,False,False,True,False,False,False,False,False,145
3,False,False,False,False,False,False,False,True,True,False,False,False,False,199
4,False,False,False,False,False,False,False,True,True,False,False,True,False,302
5,False,False,False,False,False,False,False,True,True,False,False,True,True,1
6,False,False,False,False,False,False,True,False,False,False,False,False,False,5833
7,False,False,False,False,False,False,True,False,False,True,False,False,False,3
8,False,False,False,False,False,False,True,False,True,False,False,False,False,665
9,False,False,False,False,False,False,True,True,False,False,False,False,False,116
10,False,False,False,False,False,False,True,True,True,False,False,False,False,268
11,False,False,False,False,False,False,True,True,True,False,False,True,False,9
12,False,False,False,False,False,True,False,False,False,False,False,False,False,470
13,False,False,False,False,False,True,False,False,True,False,False,False,False,36
14,False,False,False,False,False,True,False,True,False,False,False,False,False,7
15,False,False,False,False,False,True,False,True,True,False,False,False,False,22
16,False,False,False,False,False,True,True,False,False,False,False,False,False,205
17,False,False,False,False,False,True,True,False,True,False,False,False,False,27
18,False,False,False,False,False,True,True,True,False,False,False,False,False,6
19,False,False,False,False,False,True,True,True,True,False,False,False,False,5
20,False,False,False,False,True,False,False,False,False,False,False,False,False,36
21,False,False,False,False,True,False,False,False,True,False,False,False,False,1
22,False,False,False,False,True,False,False,True,True,False,False,False,False,2
23,False,False,False,False,True,False,True,False,False,False,False,False,False,31
24,False,False,False,False,True,False,True,True,False,False,False,False,False,1
25,False,False,False,False,True,False,True,True,True,False,False,False,False,2
26,False,False,False,False,True,True,False,False,False,False,False,False,False,7
27,False,False,False,False,True,True,False,True,True,False,False,False,False,1
28,False,False,False,False,True,True,True,False,False,False,False,False,False,4
29,False,False,False,True,False,False,False,False,False,False,False,False,False,188
30,False,False,False,True,False,False,False,False,False,False,True,False,False,340
31,False,False,False,True,False,False,False,False,True,False,False,False,False,20
32,False,False,False,True,False,False,False,True,False,False,False,False,False,4
33,False,False,False,True,False,False,False,True,True,False,False,False,False,19
34,False,False,False,True,False,False,False,True,True,False,False,True,False,2
35,False,False,False,True,False,False,False,True,True,False,False,True,True,27
36,False,False,False,True,False,False,True,False,False,False,False,False,False,693
37,False,False,False,True,False,False,True,False,True,False,False,False,False,113
38,False,False,False,True,False,False,True,True,False,False,False,False,False,25
39,False,False,False,True,False,False,True,True,True,False,False,False,False,34
40,False,False,False,True,False,False,True,True,True,False,False,True,True,1
41,False,False,False,True,False,True,False,False,False,False,False,False,False,31
42,False,False,False,True,False,True,False,False,True,False,False,False,False,1
43,False,False,False,True,False,True,False,True,True,False,False,False,False,8
44,False,False,False,True,False,True,True,False,False,False,False,False,False,26
45,False,False,False,True,False,True,True,True,True,False,False,False,False,2
46,False,False,False,True,True,False,False,False,False,False,False,False,False,27
47,False,False,False,True,True,False,False,False,True,False,False,False,False,1
48,False,False,False,True,True,False,False,True,True,False,False,False,False,3
49,False,False,False,True,True,False,True,False,False,False,False,False,False,28
50,False,False,False,True,True,False,True,False,True,False,False,False,False,4
51,False,False,False,True,True,False,True,True,False,False,False,False,False,1
52,False,False,False,True,True,True,False,False,False,False,False,False,False,16
53,False,False,False,True,True,True,False,True,True,False,False,False,False,2
54,False,False,False,True,True,True,True,False,False,False,False,False,False,2
55,False,False,True,False,False,False,False,False,False,False,False,False,False,12
56,False,False,True,False,False,False,False,False,False,True,False,False,False,33
57,False,False,True,False,False,False,False,False,True,False,False,False,False,2
58,False,False,True,False,False,False,True,False,False,False,False,False,False,10
59,False,False,True,False,False,False,True,False,True,False,False,False,False,1
60,False,False,True,False,False,True,False,False,True,False,False,False,False,1
61,False,False,True,False,False,True,True,False,False,False,False,False,False,3
62,False,False,True,False,True,False,False,False,False,False,False,False,False,1705
63,False,False,True,False,True,False,False,False,False,True,False,False,False,20
64,False,False,True,False,True,False,False,False,True,False,False,False,False,120
65,False,False,True,False,True,False,False,True,False,False,False,False,False,142
66,False,False,True,False,True,False,False,True,True,False,False,False,False,93
67,False,False,True,False,True,False,True,False,False,False,False,False,False,1468
68,False,False,True,False,True,False,True,False,False,True,False,False,False,320
69,False,False,True,False,True,False,True,False,True,False,False,False,False,168
70,False,False,True,False,True,False,True,True,False,False,False,False,False,71
71,False,False,True,False,True,False,True,True,True,False,False,False,False,44
72,False,False,True,False,True,True,False,False,False,False,False,False,False,328
73,False,False,True,False,True,True,False,False,False,True,False,False,False,7
74,False,False,True,False,True,True,False,False,True,False,False,False,False,22
75,False,False,True,False,True,True,False,True,False,False,False,False,False,18
76,False,False,True,False,True,True,False,True,True,False,False,False,False,15
77,False,False,True,False,True,True,True,False,False,False,False,False,False,129
78,False,False,True,False,True,True,True,False,False,True,False,False,False,36
79,False,False,True,False,True,True,True,False,True,False,False,False,False,21
80,False,False,True,False,True,True,True,True,False,False,False,False,False,10
81,False,False,True,False,True,True,True,True,True,False,False,False,False,8
82,False,False,True,True,False,False,False,False,False,False,False,False,False,111
83,False,False,True,True,False,False,False,False,True,False,False,False,False,2
84,False,False,True,True,False,False,True,False,False,False,False,False,False,44
85,False,False,True,True,False,False,True,False,True,False,False,False,False,3
86,False,False,True,True,False,False,True,True,True,False,False,True,True,1
87,False,False,True,True,False,True,False,False,False,False,False,False,False,2
88,False,False,True,True,False,True,True,False,False,False,False,False,False,4
89,False,False,True,True,False,True,True,True,False,False,False,False,False,1
90,False,False,True,True,True,False,False,False,False,False,False,False,False,189
